CODE,MUNICIPIO,SI,NO,BLANCO,NULO,NOTES
la-quar,La Quar,9240,3365,297,491,El censo de <strong>La Quar</strong> es <strong>18210</strong> y ha participado un <strong>74%</strong>
la-riba,La Riba,9487,3947,386,349,El censo de <strong>La Riba</strong> es <strong>19779</strong> y ha participado un <strong>72%</strong>
la-riera-de-gaia,La Riera de Gaià,7754,3923,334,404,El censo de <strong>La Riera de Gaià</strong> es <strong>15669</strong> y ha participado un <strong>79%</strong>
la-roca-del-valles,La Roca del Vallès,7821,3706,193,473,El censo de <strong>La Roca del Vallès</strong> es <strong>15543</strong> y ha participado un <strong>78%</strong>
la-secuita,La Secuita,8487,4368,313,245,El censo de <strong>La Secuita</strong> es <strong>18589</strong> y ha participado un <strong>72%</strong>
la-selva-de-mar,La Selva de Mar,6383,5825,435,403,El censo de <strong>La Selva de Mar</strong> es <strong>17787</strong> y ha participado un <strong>73%</strong>
la-selva-del-camp,La Selva del Camp,8839,3235,476,280,El censo de <strong>La Selva del Camp</strong> es <strong>18194</strong> y ha participado un <strong>71%</strong>
la-senia,La Sénia,8839,5543,171,475,El censo de <strong>La Sénia</strong> es <strong>19012</strong> y ha participado un <strong>79%</strong>
la-sentiu-de-sio,La Sentiu de Sió,9220,5823,250,395,El censo de <strong>La Sentiu de Sió</strong> es <strong>19993</strong> y ha participado un <strong>78%</strong>
la-seu-d-urgell,La Seu d'Urgell,9560,3934,181,368,El censo de <strong>La Seu d'Urgell</strong> es <strong>18529</strong> y ha participado un <strong>76%</strong>
la-tallada-d-emporda,La Tallada d'Empordà,8601,4215,496,366,El censo de <strong>La Tallada d'Empordà</strong> es <strong>18901</strong> y ha participado un <strong>72%</strong>
la-torre-de-cabdella,La Torre de Cabdella,8711,4650,166,138,El censo de <strong>La Torre de Cabdella</strong> es <strong>18322</strong> y ha participado un <strong>75%</strong>
la-torre-de-claramunt,La Torre de Claramunt,5750,3415,234,417,El censo de <strong>La Torre de Claramunt</strong> es <strong>14784</strong> y ha participado un <strong>66%</strong>
la-torre-de-fontaubella,La Torre de Fontaubella,9960,3791,460,346,El censo de <strong>La Torre de Fontaubella</strong> es <strong>20365</strong> y ha participado un <strong>71%</strong>
la-torre-de-l-espanyol,La Torre de l'Espanyol,8014,4113,416,500,El censo de <strong>La Torre de l'Espanyol</strong> es <strong>16912</strong> y ha participado un <strong>77%</strong>
la-vajol,La Vajol,6844,3367,115,473,El censo de <strong>La Vajol</strong> es <strong>15339</strong> y ha participado un <strong>70%</strong>
la-vall-de-bianya,La Vall de Bianya,5797,4066,250,319,El censo de <strong>La Vall de Bianya</strong> es <strong>14651</strong> y ha participado un <strong>71%</strong>
la-vall-de-boi,La Vall de Boí,8846,3058,268,201,El censo de <strong>La Vall de Boí</strong> es <strong>16850</strong> y ha participado un <strong>73%</strong>
la-vall-d-en-bas,La Vall d'en Bas,6548,5833,461,276,El censo de <strong>La Vall d'en Bas</strong> es <strong>17977</strong> y ha participado un <strong>73%</strong>
la-vansa-i-fornols,La Vansa i Fórnols,5479,3624,306,474,El censo de <strong>La Vansa i Fórnols</strong> es <strong>14315</strong> y ha participado un <strong>69%</strong>
la-vilella-alta,La Vilella Alta,8334,3731,475,257,El censo de <strong>La Vilella Alta</strong> es <strong>15867</strong> y ha participado un <strong>81%</strong>
la-vilella-baixa,La Vilella Baixa,6104,5595,428,347,El censo de <strong>La Vilella Baixa</strong> es <strong>18152</strong> y ha participado un <strong>69%</strong>
l-albages,L'Albagés,5798,3547,237,306,El censo de <strong>L'Albagés</strong> es <strong>15571</strong> y ha participado un <strong>64%</strong>
l-albi,L'Albi,6144,5170,269,448,El censo de <strong>L'Albi</strong> es <strong>15161</strong> y ha participado un <strong>79%</strong>
l-albiol,L'Albiol,5497,4519,206,377,El censo de <strong>L'Albiol</strong> es <strong>13942</strong> y ha participado un <strong>76%</strong>
l-aldea,L'Aldea,6602,4539,177,148,El censo de <strong>L'Aldea</strong> es <strong>16124</strong> y ha participado un <strong>71%</strong>
l-aleixar,L'Aleixar,8821,4126,357,449,El censo de <strong>L'Aleixar</strong> es <strong>19665</strong> y ha participado un <strong>70%</strong>
l-ametlla-de-mar,L'Ametlla de Mar,9847,4881,434,331,El censo de <strong>L'Ametlla de Mar</strong> es <strong>18997</strong> y ha participado un <strong>82%</strong>
l-ametlla-del-valles,L'Ametlla del Vallès,8355,3289,468,421,El censo de <strong>L'Ametlla del Vallès</strong> es <strong>18086</strong> y ha participado un <strong>69%</strong>
l-ampolla,L'Ampolla,9327,4426,458,199,El censo de <strong>L'Ampolla</strong> es <strong>19519</strong> y ha participado un <strong>74%</strong>
l-arboc,L'Arboç,8482,4977,396,377,El censo de <strong>L'Arboç</strong> es <strong>18366</strong> y ha participado un <strong>77%</strong>
l-argentera,L'Argentera,6844,3736,120,415,El censo de <strong>L'Argentera</strong> es <strong>14241</strong> y ha participado un <strong>78%</strong>
l-armentera,L'Armentera,5964,4414,500,452,El censo de <strong>L'Armentera</strong> es <strong>16383</strong> y ha participado un <strong>69%</strong>
les,Les,6928,3572,484,390,El censo de <strong>Les</strong> es <strong>14722</strong> y ha participado un <strong>77%</strong>
les-avellanes-i-santa-linya,Les Avellanes i Santa Linya,6994,4183,111,255,El censo de <strong>Les Avellanes i Santa Linya</strong> es <strong>17382</strong> y ha participado un <strong>66%</strong>
les-borges-blanques,Les Borges Blanques,8313,4303,147,419,El censo de <strong>Les Borges Blanques</strong> es <strong>16877</strong> y ha participado un <strong>78%</strong>
les-borges-del-camp,Les Borges del Camp,8591,4107,327,370,El censo de <strong>Les Borges del Camp</strong> es <strong>17302</strong> y ha participado un <strong>77%</strong>
les-cabanyes,Les Cabanyes,5538,4997,220,386,El censo de <strong>Les Cabanyes</strong> es <strong>15598</strong> y ha participado un <strong>71%</strong>
les-franqueses-del-valles,Les Franqueses del Vallès,7637,3190,411,498,El censo de <strong>Les Franqueses del Vallès</strong> es <strong>15325</strong> y ha participado un <strong>77%</strong>
les-llosses,Les Llosses,5465,5749,433,179,El censo de <strong>Les Llosses</strong> es <strong>15113</strong> y ha participado un <strong>78%</strong>
les-masies-de-roda,Les Masies de Roda,8455,4569,136,460,El censo de <strong>Les Masies de Roda</strong> es <strong>18479</strong> y ha participado un <strong>74%</strong>
les-masies-de-voltrega,Les Masies de Voltregà,5997,4890,265,346,El censo de <strong>Les Masies de Voltregà</strong> es <strong>15274</strong> y ha participado un <strong>75%</strong>
les-oluges,Les Oluges,5909,4001,162,164,El censo de <strong>Les Oluges</strong> es <strong>15692</strong> y ha participado un <strong>65%</strong>
les-piles,Les Piles,8698,3311,150,353,El censo de <strong>Les Piles</strong> es <strong>16535</strong> y ha participado un <strong>76%</strong>
les-planes-d-hostoles,Les Planes d'Hostoles,6256,4968,363,311,El censo de <strong>Les Planes d'Hostoles</strong> es <strong>16010</strong> y ha participado un <strong>74%</strong>
les-preses,Les Preses,7716,5625,201,176,El censo de <strong>Les Preses</strong> es <strong>18416</strong> y ha participado un <strong>74%</strong>
les-valls-d-aguilar,Les Valls d'Aguilar,6545,3500,395,168,El censo de <strong>Les Valls d'Aguilar</strong> es <strong>13850</strong> y ha participado un <strong>77%</strong>
les-valls-de-valira,Les Valls de Valira,7915,4148,468,340,El censo de <strong>Les Valls de Valira</strong> es <strong>17128</strong> y ha participado un <strong>75%</strong>
l-escala,L'Escala,9556,4434,493,109,El censo de <strong>L'Escala</strong> es <strong>20136</strong> y ha participado un <strong>72%</strong>
l-espluga-calba,L'Espluga Calba,7970,3835,490,394,El censo de <strong>L'Espluga Calba</strong> es <strong>17004</strong> y ha participado un <strong>75%</strong>
l-espluga-de-francoli,L'Espluga de Francolí,9669,5063,184,303,El censo de <strong>L'Espluga de Francolí</strong> es <strong>20713</strong> y ha participado un <strong>73%</strong>
l-espunyola,L'Espunyola,5405,4775,233,424,El censo de <strong>L'Espunyola</strong> es <strong>16731</strong> y ha participado un <strong>65%</strong>
l-esquirol,L'Esquirol,7748,4862,373,366,El censo de <strong>L'Esquirol</strong> es <strong>18700</strong> y ha participado un <strong>71%</strong>
l-estany,L'Estany,7429,3321,221,198,El censo de <strong>L'Estany</strong> es <strong>16421</strong> y ha participado un <strong>68%</strong>
l-hospitalet-de-llobregat,L'Hospitalet de Llobregat,7827,3414,349,285,El censo de <strong>L'Hospitalet de Llobregat</strong> es <strong>15619</strong> y ha participado un <strong>76%</strong>
linyola,Linyola,8109,4298,308,239,El censo de <strong>Linyola</strong> es <strong>18279</strong> y ha participado un <strong>71%</strong>
llado,Lladó,7183,5283,436,424,El censo de <strong>Lladó</strong> es <strong>19151</strong> y ha participado un <strong>70%</strong>
lladorre,Lladorre,6533,3763,213,266,El censo de <strong>Lladorre</strong> es <strong>16003</strong> y ha participado un <strong>67%</strong>
lladurs,Lladurs,7318,4517,343,274,El censo de <strong>Lladurs</strong> es <strong>16373</strong> y ha participado un <strong>76%</strong>
llagostera,Llagostera,9034,4417,287,113,El censo de <strong>Llagostera</strong> es <strong>17451</strong> y ha participado un <strong>79%</strong>
llambilles,Llambilles,9156,4103,309,321,El censo de <strong>Llambilles</strong> es <strong>18072</strong> y ha participado un <strong>77%</strong>
llanars,Llanars,6347,5162,155,271,El censo de <strong>Llanars</strong> es <strong>16659</strong> y ha participado un <strong>72%</strong>
llanca,Llançà,9735,5168,333,288,El censo de <strong>Llançà</strong> es <strong>19997</strong> y ha participado un <strong>78%</strong>
llardecans,Llardecans,5342,3563,316,138,El censo de <strong>Llardecans</strong> es <strong>15078</strong> y ha participado un <strong>62%</strong>
llavorsi,Llavorsí,9339,3177,118,212,El censo de <strong>Llavorsí</strong> es <strong>16825</strong> y ha participado un <strong>76%</strong>
lleida,Lleida,7812,6000,461,394,El censo de <strong>Lleida</strong> es <strong>18506</strong> y ha participado un <strong>79%</strong>
llers,Llers,8965,5885,399,481,El censo de <strong>Llers</strong> es <strong>21561</strong> y ha participado un <strong>73%</strong>
lles-de-cerdanya,Lles de Cerdanya,5932,3082,220,115,El censo de <strong>Lles de Cerdanya</strong> es <strong>15201</strong> y ha participado un <strong>62%</strong>
llica-d-amunt,Lliçà d'Amunt,9367,5313,166,470,El censo de <strong>Lliçà d'Amunt</strong> es <strong>18596</strong> y ha participado un <strong>82%</strong>
llica-de-vall,Lliçà de Vall,8584,4233,317,107,El censo de <strong>Lliçà de Vall</strong> es <strong>18466</strong> y ha participado un <strong>72%</strong>
llimiana,Llimiana,8558,3225,457,156,El censo de <strong>Llimiana</strong> es <strong>16406</strong> y ha participado un <strong>76%</strong>
llinars-del-valles,Llinars del Vallès,9832,4382,219,404,El censo de <strong>Llinars del Vallès</strong> es <strong>19118</strong> y ha participado un <strong>78%</strong>
llivia,Llívia,5045,5852,106,161,El censo de <strong>Llívia</strong> es <strong>14775</strong> y ha participado un <strong>76%</strong>
llobera,Llobera,7003,3039,409,326,El censo de <strong>Llobera</strong> es <strong>15577</strong> y ha participado un <strong>69%</strong>
llorac,Llorac,8616,4160,266,278,El censo de <strong>Llorac</strong> es <strong>18972</strong> y ha participado un <strong>70%</strong>
llorenc-del-penedes,Llorenç del Penedès,9239,3492,317,146,El censo de <strong>Llorenç del Penedès</strong> es <strong>17036</strong> y ha participado un <strong>77%</strong>
lloret-de-mar,Lloret de Mar,7765,4998,165,254,El censo de <strong>Lloret de Mar</strong> es <strong>17413</strong> y ha participado un <strong>76%</strong>
lluca,Lluçà,6709,4513,356,185,El censo de <strong>Lluçà</strong> es <strong>15177</strong> y ha participado un <strong>78%</strong>
macanet-de-cabrenys,Maçanet de Cabrenys,5977,3552,280,304,El censo de <strong>Maçanet de Cabrenys</strong> es <strong>14639</strong> y ha participado un <strong>69%</strong>
macanet-de-la-selva,Maçanet de la Selva,9683,3399,221,421,El censo de <strong>Maçanet de la Selva</strong> es <strong>17000</strong> y ha participado un <strong>81%</strong>
madremanya,Madremanya,9280,3661,106,232,El censo de <strong>Madremanya</strong> es <strong>18721</strong> y ha participado un <strong>71%</strong>
maia-de-montcal,Maià de Montcal,6311,3240,275,457,El censo de <strong>Maià de Montcal</strong> es <strong>13812</strong> y ha participado un <strong>74%</strong>
maials,Maials,5123,3150,353,243,El censo de <strong>Maials</strong> es <strong>13954</strong> y ha participado un <strong>64%</strong>
malda,Maldà,9916,5512,347,249,El censo de <strong>Maldà</strong> es <strong>19394</strong> y ha participado un <strong>83%</strong>
malgrat-de-mar,Malgrat de Mar,5203,4757,486,394,El censo de <strong>Malgrat de Mar</strong> es <strong>14808</strong> y ha participado un <strong>73%</strong>
malla,Malla,7468,4897,295,337,El censo de <strong>Malla</strong> es <strong>17949</strong> y ha participado un <strong>72%</strong>
manlleu,Manlleu,9224,5673,152,234,El censo de <strong>Manlleu</strong> es <strong>18972</strong> y ha participado un <strong>81%</strong>
manresa,Manresa,8089,4276,127,177,El censo de <strong>Manresa</strong> es <strong>17193</strong> y ha participado un <strong>74%</strong>
marca,Marçà,8526,4691,194,128,El censo de <strong>Marçà</strong> es <strong>17180</strong> y ha participado un <strong>79%</strong>
margalef,Margalef,9538,3184,200,375,El censo de <strong>Margalef</strong> es <strong>17205</strong> y ha participado un <strong>77%</strong>
marganell,Marganell,9272,3419,108,107,El censo de <strong>Marganell</strong> es <strong>17967</strong> y ha participado un <strong>72%</strong>
martorell,Martorell,5274,4766,222,240,El censo de <strong>Martorell</strong> es <strong>15616</strong> y ha participado un <strong>67%</strong>
martorelles,Martorelles,9955,5777,366,212,El censo de <strong>Martorelles</strong> es <strong>19457</strong> y ha participado un <strong>84%</strong>
mas-de-barberans,Mas de Barberans,9310,3584,439,260,El censo de <strong>Mas de Barberans</strong> es <strong>19371</strong> y ha participado un <strong>70%</strong>
masarac,Masarac,8447,3550,161,256,El censo de <strong>Masarac</strong> es <strong>16148</strong> y ha participado un <strong>77%</strong>
masdenverge,Masdenverge,8013,4641,101,278,El censo de <strong>Masdenverge</strong> es <strong>16596</strong> y ha participado un <strong>79%</strong>
masllorenc,Masllorenç,7116,3364,286,346,El censo de <strong>Masllorenç</strong> es <strong>14764</strong> y ha participado un <strong>75%</strong>
maspujols,Maspujols,5404,5308,180,157,El censo de <strong>Maspujols</strong> es <strong>15228</strong> y ha participado un <strong>73%</strong>
masquefa,Masquefa,7774,3526,292,250,El censo de <strong>Masquefa</strong> es <strong>16566</strong> y ha participado un <strong>71%</strong>
massalcoreig,Massalcoreig,9826,3163,348,231,El censo de <strong>Massalcoreig</strong> es <strong>19300</strong> y ha participado un <strong>70%</strong>
massanes,Massanes,7752,4459,329,156,El censo de <strong>Massanes</strong> es <strong>17013</strong> y ha participado un <strong>75%</strong>
massoteres,Massoteres,7808,5490,116,164,El censo de <strong>Massoteres</strong> es <strong>19025</strong> y ha participado un <strong>71%</strong>
matadepera,Matadepera,7017,3768,345,341,El censo de <strong>Matadepera</strong> es <strong>16143</strong> y ha participado un <strong>71%</strong>
mataro,Mataró,6449,3599,395,376,El censo de <strong>Mataró</strong> es <strong>14903</strong> y ha participado un <strong>73%</strong>
medinya,Medinyà,9678,4726,163,414,El censo de <strong>Medinyà</strong> es <strong>18126</strong> y ha participado un <strong>83%</strong>
mediona,Mediona,7135,4201,297,192,El censo de <strong>Mediona</strong> es <strong>15646</strong> y ha participado un <strong>76%</strong>
menarguens,Menàrguens,8927,5031,248,486,El censo de <strong>Menàrguens</strong> es <strong>19564</strong> y ha participado un <strong>75%</strong>
meranges,Meranges,7923,5893,200,470,El censo de <strong>Meranges</strong> es <strong>20093</strong> y ha participado un <strong>72%</strong>
mieres,Mieres,8808,3768,484,210,El censo de <strong>Mieres</strong> es <strong>16504</strong> y ha participado un <strong>80%</strong>
miralcamp,Miralcamp,5925,5634,223,352,El censo de <strong>Miralcamp</strong> es <strong>17978</strong> y ha participado un <strong>67%</strong>
miravet,Miravet,9390,4207,328,453,El censo de <strong>Miravet</strong> es <strong>18777</strong> y ha participado un <strong>77%</strong>
moia,Moià,9236,3661,306,389,El censo de <strong>Moià</strong> es <strong>17744</strong> y ha participado un <strong>77%</strong>
molins-de-rei,Molins de Rei,5909,5978,236,171,El censo de <strong>Molins de Rei</strong> es <strong>16405</strong> y ha participado un <strong>75%</strong>
mollerussa,Mollerussa,6592,5202,157,351,El censo de <strong>Mollerussa</strong> es <strong>16562</strong> y ha participado un <strong>74%</strong>
mollet-de-peralada,Mollet de Peralada,6921,3852,460,492,El censo de <strong>Mollet de Peralada</strong> es <strong>14909</strong> y ha participado un <strong>79%</strong>
mollet-del-valles,Mollet del Vallès,9575,4858,276,500,El censo de <strong>Mollet del Vallès</strong> es <strong>18453</strong> y ha participado un <strong>82%</strong>
mollo,Molló,6732,4532,137,340,El censo de <strong>Molló</strong> es <strong>15088</strong> y ha participado un <strong>78%</strong>
monistrol-de-calders,Monistrol de Calders,7732,3036,348,390,El censo de <strong>Monistrol de Calders</strong> es <strong>15908</strong> y ha participado un <strong>72%</strong>
monistrol-de-montserrat,Monistrol de Montserrat,7657,4229,418,124,El censo de <strong>Monistrol de Montserrat</strong> es <strong>17266</strong> y ha participado un <strong>72%</strong>
montagut-i-oix,Montagut i Oix,8100,3389,452,394,El censo de <strong>Montagut i Oix</strong> es <strong>18218</strong> y ha participado un <strong>68%</strong>
montblanc,Montblanc,7805,4622,313,381,El censo de <strong>Montblanc</strong> es <strong>18976</strong> y ha participado un <strong>69%</strong>
montbrio-del-camp,Montbrió del Camp,7765,4436,307,125,El censo de <strong>Montbrió del Camp</strong> es <strong>17271</strong> y ha participado un <strong>73%</strong>
montcada-i-reixac,Montcada i Reixac,6846,3745,151,433,El censo de <strong>Montcada i Reixac</strong> es <strong>15002</strong> y ha participado un <strong>74%</strong>
montclar,Montclar,6354,4108,306,287,El censo de <strong>Montclar</strong> es <strong>15772</strong> y ha participado un <strong>70%</strong>
montella-i-martinet,Montellà i Martinet,5622,3388,419,351,El censo de <strong>Montellà i Martinet</strong> es <strong>14798</strong> y ha participado un <strong>66%</strong>
montesquiu,Montesquiu,6492,3392,402,377,El censo de <strong>Montesquiu</strong> es <strong>15578</strong> y ha participado un <strong>68%</strong>
montferrer-i-castellbo,Montferrer i Castellbò,9147,5180,315,331,El censo de <strong>Montferrer i Castellbò</strong> es <strong>20517</strong> y ha participado un <strong>73%</strong>
montferri,Montferri,7317,3926,219,491,El censo de <strong>Montferri</strong> es <strong>17131</strong> y ha participado un <strong>70%</strong>
montgai,Montgai,9902,5744,150,320,El censo de <strong>Montgai</strong> es <strong>21564</strong> y ha participado un <strong>75%</strong>
montgat,Montgat,5935,5078,434,121,El censo de <strong>Montgat</strong> es <strong>16208</strong> y ha participado un <strong>71%</strong>
montmajor,Montmajor,7803,5785,303,280,El censo de <strong>Montmajor</strong> es <strong>18413</strong> y ha participado un <strong>77%</strong>
montmaneu,Montmaneu,9568,5011,279,384,El censo de <strong>Montmaneu</strong> es <strong>20296</strong> y ha participado un <strong>75%</strong>
montmelo,Montmeló,7278,4737,396,432,El censo de <strong>Montmeló</strong> es <strong>18605</strong> y ha participado un <strong>69%</strong>
montoliu-de-lleida,Montoliu de Lleida,6626,5928,395,388,El censo de <strong>Montoliu de Lleida</strong> es <strong>17582</strong> y ha participado un <strong>76%</strong>
montoliu-de-segarra,Montoliu de Segarra,9805,4385,354,445,El censo de <strong>Montoliu de Segarra</strong> es <strong>19439</strong> y ha participado un <strong>77%</strong>
montornes-de-segarra,Montornès de Segarra,8957,4993,172,436,El censo de <strong>Montornès de Segarra</strong> es <strong>17982</strong> y ha participado un <strong>81%</strong>
montornes-del-valles,Montornès del Vallès,8766,3052,342,427,El censo de <strong>Montornès del Vallès</strong> es <strong>18408</strong> y ha participado un <strong>68%</strong>
mont-ral,Mont-ral,6730,4072,405,161,El censo de <strong>Mont-ral</strong> es <strong>16899</strong> y ha participado un <strong>67%</strong>
mont-ras,Mont-ras,7160,3367,363,105,El censo de <strong>Mont-ras</strong> es <strong>14529</strong> y ha participado un <strong>76%</strong>
mont-roig-del-camp,Mont-roig del Camp,6769,4213,161,358,El censo de <strong>Mont-roig del Camp</strong> es <strong>16992</strong> y ha participado un <strong>68%</strong>
montseny,Montseny,7662,4236,109,468,El censo de <strong>Montseny</strong> es <strong>18279</strong> y ha participado un <strong>68%</strong>
mora-d-ebre,Móra d'Ebre,7960,5878,311,108,El censo de <strong>Móra d'Ebre</strong> es <strong>18261</strong> y ha participado un <strong>78%</strong>
mora-la-nova,Móra la Nova,8084,4813,474,151,El censo de <strong>Móra la Nova</strong> es <strong>18309</strong> y ha participado un <strong>74%</strong>
muntanyola,Muntanyola,7172,3491,151,322,El censo de <strong>Muntanyola</strong> es <strong>16663</strong> y ha participado un <strong>67%</strong>
mura,Mura,5232,5383,129,267,El censo de <strong>Mura</strong> es <strong>16071</strong> y ha participado un <strong>69%</strong>
nalec,Nalec,9314,3017,439,389,El censo de <strong>Nalec</strong> es <strong>17889</strong> y ha participado un <strong>74%</strong>
naut-aran,Naut Aran,6663,4668,163,425,El censo de <strong>Naut Aran</strong> es <strong>15815</strong> y ha participado un <strong>75%</strong>
navarcles,Navarcles,5538,4197,441,210,El censo de <strong>Navarcles</strong> es <strong>15501</strong> y ha participado un <strong>67%</strong>
navas,Navàs,9322,4147,361,456,El censo de <strong>Navàs</strong> es <strong>20142</strong> y ha participado un <strong>71%</strong>
navata,Navata,6528,5856,396,244,El censo de <strong>Navata</strong> es <strong>17695</strong> y ha participado un <strong>74%</strong>
naves,Navès,5644,5083,351,102,El censo de <strong>Navès</strong> es <strong>16579</strong> y ha participado un <strong>67%</strong>
nulles,Nulles,6696,3995,492,308,El censo de <strong>Nulles</strong> es <strong>16728</strong> y ha participado un <strong>69%</strong>
oden,Odèn,5763,3938,220,168,El censo de <strong>Odèn</strong> es <strong>14135</strong> y ha participado un <strong>71%</strong>
odena,Òdena,7710,3828,240,467,El censo de <strong>Òdena</strong> es <strong>15398</strong> y ha participado un <strong>80%</strong>
ogassa,Ogassa,7616,5928,323,353,El censo de <strong>Ogassa</strong> es <strong>18568</strong> y ha participado un <strong>77%</strong>
olerdola,Olèrdola,5688,5158,388,485,El censo de <strong>Olèrdola</strong> es <strong>15719</strong> y ha participado un <strong>75%</strong>
olesa-de-bonesvalls,Olesa de Bonesvalls,7426,3439,281,225,El censo de <strong>Olesa de Bonesvalls</strong> es <strong>15397</strong> y ha participado un <strong>74%</strong>
olesa-de-montserrat,Olesa de Montserrat,6483,5957,318,181,El censo de <strong>Olesa de Montserrat</strong> es <strong>18210</strong> y ha participado un <strong>71%</strong>
oliana,Oliana,5786,5058,484,342,El censo de <strong>Oliana</strong> es <strong>17439</strong> y ha participado un <strong>67%</strong>
oliola,Oliola,8224,5529,158,357,El censo de <strong>Oliola</strong> es <strong>17998</strong> y ha participado un <strong>79%</strong>
olius,Olius,9165,3055,208,424,El censo de <strong>Olius</strong> es <strong>17387</strong> y ha participado un <strong>74%</strong>
olivella,Olivella,7383,5900,116,371,El censo de <strong>Olivella</strong> es <strong>17747</strong> y ha participado un <strong>78%</strong>
olost,Olost,9847,5270,229,191,El censo de <strong>Olost</strong> es <strong>19316</strong> y ha participado un <strong>80%</strong>
olot,Olot,9227,3561,293,328,El censo de <strong>Olot</strong> es <strong>17256</strong> y ha participado un <strong>78%</strong>
olvan,Olvan,6357,5893,165,212,El censo de <strong>Olvan</strong> es <strong>15846</strong> y ha participado un <strong>80%</strong>
ordis,Ordis,5131,5389,201,444,El censo de <strong>Ordis</strong> es <strong>14347</strong> y ha participado un <strong>78%</strong>
organya,Organyà,6853,5771,408,413,El censo de <strong>Organyà</strong> es <strong>18728</strong> y ha participado un <strong>72%</strong>
oris,Orís,7703,3996,496,486,El censo de <strong>Orís</strong> es <strong>15922</strong> y ha participado un <strong>80%</strong>
orista,Oristà,8996,4037,122,202,El censo de <strong>Oristà</strong> es <strong>17928</strong> y ha participado un <strong>75%</strong>
orpi,Orpí,5125,4897,196,418,El censo de <strong>Orpí</strong> es <strong>15373</strong> y ha participado un <strong>69%</strong>
orrius,Òrrius,9466,3753,498,156,El censo de <strong>Òrrius</strong> es <strong>17485</strong> y ha participado un <strong>79%</strong>
os-de-balaguer,Os de Balaguer,8489,3156,340,351,El censo de <strong>Os de Balaguer</strong> es <strong>16868</strong> y ha participado un <strong>73%</strong>
osor,Osor,9181,4991,486,161,El censo de <strong>Osor</strong> es <strong>19499</strong> y ha participado un <strong>76%</strong>
osso-de-sio,Ossó de Sió,9117,5575,349,237,El censo de <strong>Ossó de Sió</strong> es <strong>18838</strong> y ha participado un <strong>81%</strong>
pacs-del-penedes,Pacs del Penedès,7387,4138,251,115,El censo de <strong>Pacs del Penedès</strong> es <strong>16276</strong> y ha participado un <strong>73%</strong>
palafolls,Palafolls,8982,3595,221,306,El censo de <strong>Palafolls</strong> es <strong>18246</strong> y ha participado un <strong>72%</strong>
palafrugell,Palafrugell,6383,4753,485,356,El censo de <strong>Palafrugell</strong> es <strong>16125</strong> y ha participado un <strong>74%</strong>
palamos,Palamós,5017,3730,477,330,El censo de <strong>Palamós</strong> es <strong>13982</strong> y ha participado un <strong>68%</strong>
palau-de-santa-eulalia,Palau de Santa Eulàlia,6826,3512,199,189,El censo de <strong>Palau de Santa Eulàlia</strong> es <strong>15908</strong> y ha participado un <strong>67%</strong>
palau-sator,Palau-sator,8523,4030,185,251,El censo de <strong>Palau-sator</strong> es <strong>16738</strong> y ha participado un <strong>78%</strong>
palau-saverdera,Palau-saverdera,5177,3290,383,336,El censo de <strong>Palau-saverdera</strong> es <strong>12331</strong> y ha participado un <strong>74%</strong>
palau-solita-i-plegamans,Palau-solità i Plegamans,9858,3413,296,254,El censo de <strong>Palau-solità i Plegamans</strong> es <strong>17799</strong> y ha participado un <strong>78%</strong>
palleja,Pallejà,9783,5693,345,134,El censo de <strong>Pallejà</strong> es <strong>21569</strong> y ha participado un <strong>74%</strong>
palol-de-revardit,Palol de Revardit,9197,3962,379,224,El censo de <strong>Palol de Revardit</strong> es <strong>18881</strong> y ha participado un <strong>73%</strong>
pals,Pals,9354,3833,111,397,El censo de <strong>Pals</strong> es <strong>18063</strong> y ha participado un <strong>76%</strong>
pardines,Pardines,5547,5989,288,175,El censo de <strong>Pardines</strong> es <strong>16371</strong> y ha participado un <strong>73%</strong>
parets-del-valles,Parets del Vallès,8122,5971,148,416,El censo de <strong>Parets del Vallès</strong> es <strong>19702</strong> y ha participado un <strong>74%</strong>
parlava,Parlavà,9104,5780,122,311,El censo de <strong>Parlavà</strong> es <strong>18317</strong> y ha participado un <strong>84%</strong>
passanant-i-belltall,Passanant i Belltall,8354,3572,206,170,El censo de <strong>Passanant i Belltall</strong> es <strong>18201</strong> y ha participado un <strong>68%</strong>
pau,Pau,9802,5853,241,320,El censo de <strong>Pau</strong> es <strong>22071</strong> y ha participado un <strong>73%</strong>
pauls,Paüls,7381,3412,372,326,El censo de <strong>Paüls</strong> es <strong>14521</strong> y ha participado un <strong>79%</strong>
pedret-i-marza,Pedret i Marzà,5438,5267,420,345,El censo de <strong>Pedret i Marzà</strong> es <strong>14652</strong> y ha participado un <strong>78%</strong>
penelles,Penelles,9801,5780,342,242,El censo de <strong>Penelles</strong> es <strong>19496</strong> y ha participado un <strong>83%</strong>
perafita,Perafita,6743,4633,342,258,El censo de <strong>Perafita</strong> es <strong>17412</strong> y ha participado un <strong>69%</strong>
perafort,Perafort,8050,3764,328,491,El censo de <strong>Perafort</strong> es <strong>18092</strong> y ha participado un <strong>70%</strong>
peralada,Peralada,7938,3816,456,418,El censo de <strong>Peralada</strong> es <strong>17344</strong> y ha participado un <strong>73%</strong>
peramola,Peramola,9869,3177,322,212,El censo de <strong>Peramola</strong> es <strong>16676</strong> y ha participado un <strong>81%</strong>
